"drugFix1" "drugFix2" "drugFix3" "drugFix4" "drugFix5" "drugFix6" "drugFix7" "alcConsq1" "alcConsq2" "alcConsq3" "alcConsq4" "alcConsq5" "alcConsq6" "alcConsq7" "alcFix1" "alcFix2" "alcFix3" "alcFix4" "alcFix5" "alcFix6" "alcFix7" "alcFix8" "alcFix9" "alcFix10" "aidFix1" "aidFix2" "aidFix3" "aidFix4" "aidFix5"
"88" 1 2 3 4 5 6 7 3 2 1 4 7 5 6 5 NA NA 1 2 NA NA 3 NA 4 3 4 5 1 2
"89" 1 3 2 4 7 5 6 6 3 1 5 7 2 4 1 5 NA NA 4 NA NA 2 NA 3 1 4 5 2 3
"90" 7 5 6 4 3 1 2 5 6 2 7 3 1 4 3 NA 1 2 NA NA NA 5 NA 4 3 4 5 2 1
"91" 1 3 7 4 5 2 6 2 1 4 3 7 6 5 4 1 5 NA NA NA NA NA 2 3 2 3 5 4 1
"92" 7 1 2 4 3 5 6 1 2 5 6 7 3 4 NA 1 NA 2 4 NA NA 3 NA 5 2 5 4 3 1
"93" 2 1 3 5 4 6 7 1 2 4 7 5 6 3 NA 4 NA 5 NA NA NA 1 2 3 1 5 2 3 4
"94" 5 2 7 1 4 3 6 1 2 3 7 5 6 4 3 4 NA NA 1 NA NA NA 5 2 1 4 5 3 2
"95" 4 1 7 2 6 3 5 3 1 4 6 5 7 2 1 NA NA NA 5 NA NA 2 3 4 4 3 5 2 1
"96" 1 2 6 3 7 4 5 2 1 3 4 7 6 5 4 NA 3 NA 2 NA NA 5 NA 1 2 4 5 3 1
"97" 2 1 6 5 7 3 4 1 2 3 4 5 6 7 1 NA NA NA 3 NA NA 2 5 4 1 4 5 3 2
"98" 5 1 6 4 7 3 2 3 2 1 5 7 6 4 2 NA 3 NA 1 NA NA 4 NA 5 2 4 5 3 1
"99" 2 1 4 7 3 5 6 2 3 1 5 7 6 4 1 NA 3 NA 4 NA NA 5 2 NA 1 3 2 5 4
